id,title,description,image_url,image_filename,date
0,Milk Chocolate Chip,"The classic—you can't go wrong. Thick, soft, and packed with milk chocolate chips.","https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/caec29c8-ce68-4839-83d5-e48bd6b44ac8_ChocolateChip_Aerial_Crum_Tech.png",caec29c8-ce68-4839-83d5-e48bd6b44ac8_ChocolateChip_Aerial_Crum_Tech.png,2022-07-24
1,Chocolate Crumb (ft. OREO®),A rich OREO®-filled chocolate cookie topped with smooth vanilla cream cheese frosting and a sprinkle of OREO® crumbs.,"https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/15d7f342-3648-4bb1-bc85-cdb47574e526_ChocolateFtOreo_Aerial_Crumb_Tech_2.png",15d7f342-3648-4bb1-bc85-cdb47574e526_ChocolateFtOreo_Aerial_Crumb_Tech_2.png,2022-07-24
2,Oatmeal Chocolate Chip,A thick oatmeal cinnamon cookie filled with layers of melty milk chocolate chips.,"https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/f0481bc2-32fa-4aaf-a225-9c97cc993efe_OatmealChocolateChip_Aerial_Crumb_Tech.png",f0481bc2-32fa-4aaf-a225-9c97cc993efe_OatmealChocolateChip_Aerial_Crumb_Tech.png,2022-07-24
3,Chocolate Mallow Cupcake,"A delicious chocolate cake cookie topped with layers of fluffy marshmallow whipped cream, gooey chocolate glaze, and decorative white loops.","https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/16b64140-d853-46b1-88c6-df946fdc2c91_ChocolateMallowCupcake_Aerial_Crumb_Tech.png",16b64140-d853-46b1-88c6-df946fdc2c91_ChocolateMallowCupcake_Aerial_Crumb_Tech.png,2022-07-24
4,Fruit Pizza,A cream cheese cookie topped with tart lemony frosting and a spread of fresh assorted fruit.,"https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/0c687f84-8a87-479d-8272-3f9418ca7a63_FruitPizza_Aerial_Crumb_Tech.png",0c687f84-8a87-479d-8272-3f9418ca7a63_FruitPizza_Aerial_Crumb_Tech.png,2022-07-24
5,Maple Glaze,A cookie bursting with brown sugar flavor and drizzled with a sweet maple cream cheese glaze.,"https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/e15c8237-af6d-421f-a2ee-ab0f213d2c37_MapleGlaze_Aerial_Crumb_Tech.png",e15c8237-af6d-421f-a2ee-ab0f213d2c37_MapleGlaze_Aerial_Crumb_Tech.png,2022-07-24
6,Brownie Fudge,,"https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/a83e72e2-8456-44ac-957f-e6e2713fe4fe_BrownieFudge_TubWithScoops_InStoreMenu_Transparent.png",a83e72e2-8456-44ac-957f-e6e2713fe4fe_BrownieFudge_TubWithScoops_InStoreMenu_Transparent.png,2022-07-24
7,Cookie Dough Crunch,,"https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/2072af80-c8a5-4dce-9b4a-17a95e610c8e_CookieDoughCrunch_TubWithScoops_InStoreMenu_Transparent.png",2072af80-c8a5-4dce-9b4a-17a95e610c8e_CookieDoughCrunch_TubWithScoops_InStoreMenu_Transparent.png,2022-07-24
8,Peanut Butter Brittle,,"https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/8264d156-0673-40b7-8349-502cd2bc119d_PeanutButterBrittle_TubWithScoops_InStoreMenu_Transparent.png",8264d156-0673-40b7-8349-502cd2bc119d_PeanutButterBrittle_TubWithScoops_InStoreMenu_Transparent.png,2022-07-24
9,Raspberry Cheesecake,,"https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/88c90883-4aec-456d-9bf0-30bdc1831cd9_RaspberryCheesecake_TubWithScoops_InStoreMenu_Transparent.png",88c90883-4aec-456d-9bf0-30bdc1831cd9_RaspberryCheesecake_TubWithScoops_InStoreMenu_Transparent.png,2022-07-24
10,Snickerdoodle,,"https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/80f348df-001e-4ef1-8aef-81b604bd428c_Snickerdoodle_TubWithScoops_InStoreMenu_Transparent.png",80f348df-001e-4ef1-8aef-81b604bd428c_Snickerdoodle_TubWithScoops_InStoreMenu_Transparent.png,2022-07-24
11,Vanilla Bean,,"https://crumbl.video/cdn-cgi/image/width=3840,quality=80/https://crumbl.video/64b506d2-7377-4772-ad61-dda7c4141ec0_VanillaBean_TubWithScoops_InStoreMenu_Transparent.png",64b506d2-7377-4772-ad61-dda7c4141ec0_VanillaBean_TubWithScoops_InStoreMenu_Transparent.png,2022-07-24
